created_month,Access & Security / User Access,Data Management / Data Recovery,Defects & Errors / Error Messages,Notifications & Communications / Alerts,Notifications & Communications / Email,Notifications & Communications / Subscription,Other,Performance & Availability / Performance,Reporting & Analytics / Analytics,Reporting & Analytics / Dashboard,Reporting & Analytics / Reporting,Service Requests / Information Request,User Guidance & Training / Training
2026-01,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,1.0,1.0
2026-02,0.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,0.0,0.0,0.0,0.0,1.0,1.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-04,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-05,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,1.0,1.0,0.0,1.0
2026-06,0.0,0.0,0.0,0.0,3.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,0.0
2026-07,1.0,0.0,0.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
