created_month,Access & Security / User Access,Data Management / Data Recovery,Defects & Errors / Error Messages,Notifications & Communications / Alerts,Notifications & Communications / Email,Notifications & Communications / Subscription,Other,Performance & Availability / Performance,Reporting & Analytics / Analytics,Reporting & Analytics / Dashboard,Reporting & Analytics / Reporting,Service Requests / Information Request,User Guidance & Training / Training
2026-01,0.0,0.0,1.0,0.0,2.0,0.0,39.0,2.0,0.0,0.0,3.0,1.0,1.0
2026-02,0.0,0.0,0.0,1.0,2.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0,1.0
2026-03,0.0,0.0,1.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,3.0,0.0,0.0
2026-04,0.0,1.0,2.0,1.0,2.0,0.0,56.0,0.0,1.0,0.0,2.0,0.0,0.0
2026-05,0.0,0.0,0.0,1.0,0.0,0.0,55.0,2.0,0.0,1.0,2.0,0.0,1.0
2026-06,0.0,0.0,3.0,0.0,5.0,0.0,75.0,2.0,0.0,0.0,3.0,0.0,0.0
2026-07,1.0,0.0,0.0,1.0,2.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-08,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
